epoch,contour_loss,loss,lr,note_loss,onset_loss,val_contour_loss,val_loss,val_note_loss,val_onset_loss
0,0.3380527198314667,1.0180442333221436,1e-05,0.3449224531650543,0.33506911993026733,0.3377562165260315,1.0139734745025635,0.3429178297519684,0.3332993984222412
1,0.3388276994228363,1.017043113708496,1e-05,0.3448084592819214,0.33340704441070557,0.3377562165260315,1.0122894048690796,0.3423287868499756,0.3322044610977173
2,0.3385888934135437,1.0143505334854126,1e-05,0.3435344696044922,0.3322272002696991,0.3377562165260315,1.0111446380615234,0.3418215811252594,0.33156684041023254
3,0.33833611011505127,1.013047456741333,1e-05,0.3428300619125366,0.33188116550445557,0.3377562165260315,1.0102458000183105,0.3413698375225067,0.33111971616744995
4,0.33802443742752075,1.0116195678710938,1e-05,0.3421534299850464,0.3314415216445923,0.3377562165260315,1.0095902681350708,0.34095409512519836,0.3308798670768738
5,0.33860576152801514,1.0119404792785645,1e-05,0.3422868251800537,0.33104804158210754,0.3377562165260315,1.0090738534927368,0.34060388803482056,0.3307137191295624
6,0.33851078152656555,1.0111669301986694,1e-05,0.34182876348495483,0.33082717657089233,0.3377562165260315,1.0085700750350952,0.3402978181838989,0.3305160403251648
7,0.3380061984062195,1.0094257593154907,1e-05,0.340900182723999,0.3305193781852722,0.3377562165260315,1.0081743001937866,0.3400360941886902,0.3303820490837097
8,0.3386254608631134,1.0106208324432373,1e-05,0.3415467143058777,0.33044883608818054,0.3377562165260315,1.0077232122421265,0.3398231863975525,0.33014383912086487
9,0.33885347843170166,1.0107109546661377,1e-05,0.3415836989879608,0.33027344942092896,0.3377562165260315,1.007394790649414,0.3396371006965637,0.3300014138221741
10,0.33888721466064453,1.0104707479476929,1e-05,0.34138667583465576,0.3301967680454254,0.3377562165260315,1.0070874691009521,0.33949434757232666,0.3298368453979492
11,0.3389173448085785,1.0099871158599854,1e-05,0.3410941958427429,0.32997554540634155,0.3377562165260315,1.0068063735961914,0.3393811285495758,0.32966893911361694
12,0.33880943059921265,1.0093961954116821,1e-05,0.34083667397499084,0.3297501802444458,0.3377562165260315,1.0067025423049927,0.33928805589675903,0.3296582102775574
13,0.33828461170196533,1.0081597566604614,1e-05,0.34008654952049255,0.3297881782054901,0.3377562165260315,1.0065122842788696,0.3392149806022644,0.32954099774360657
14,0.3381372392177582,1.0073760747909546,1e-05,0.33959293365478516,0.3296458125114441,0.3377562165260315,1.0064274072647095,0.33916133642196655,0.3295098543167114
15,0.3386937081813812,1.0087684392929077,1e-05,0.34048283100128174,0.32959163188934326,0.3377562165260315,1.0062369108200073,0.3391188979148865,0.32936182618141174
16,0.33867689967155457,1.0085043907165527,1e-05,0.34040915966033936,0.32941845059394836,0.3377562165260315,1.0061306953430176,0.3390907645225525,0.329283744096756
17,0.33850082755088806,1.0078338384628296,1e-05,0.3399340510368347,0.3293987512588501,0.3377562165260315,1.0059623718261719,0.3390750586986542,0.3291310966014862
18,0.33840683102607727,1.0075968503952026,1e-05,0.3398902118206024,0.3292998969554901,0.3377562165260315,1.0058284997940063,0.33905497193336487,0.32901731133461
19,0.33818376064300537,1.006971836090088,1e-05,0.3395388424396515,0.32924920320510864,0.3377562165260315,1.0057967901229858,0.3390481173992157,0.32899242639541626
20,0.33842647075653076,1.0073410272598267,1e-05,0.3397888243198395,0.32912564277648926,0.3377562165260315,1.0057470798492432,0.3390370011329651,0.3289538025856018
21,0.3378852903842926,1.0061061382293701,1e-05,0.339138001203537,0.32908299565315247,0.3377562165260315,1.0057004690170288,0.33903321623802185,0.32891106605529785
22,0.33779704570770264,1.0059465169906616,1e-05,0.3390888273715973,0.3290608525276184,0.3377562165260315,1.0056498050689697,0.3390350639820099,0.3288584351539612
23,0.33867648243904114,1.0080054998397827,1e-05,0.340277761220932,0.3290513753890991,0.3377562165260315,1.005631446838379,0.3390335738658905,0.32884156703948975
24,0.33919525146484375,1.008767008781433,1e-05,0.3406606614589691,0.3289112448692322,0.3377562165260315,1.0055022239685059,0.3390285074710846,0.328717440366745
25,0.3381669223308563,1.0062744617462158,1e-05,0.33934155106544495,0.32876625657081604,0.3377562165260315,1.0054680109024048,0.339030921459198,0.3286808431148529
26,0.33851009607315063,1.0071712732315063,1e-05,0.3400944769382477,0.32856667041778564,0.3377562165260315,1.005439043045044,0.33903297781944275,0.32864969968795776
27,0.3386573791503906,1.0074915885925293,1e-05,0.34023433923721313,0.3286000192165375,0.3377562165260315,1.0054235458374023,0.33903107047080994,0.32863619923591614
28,0.337815523147583,1.0055042505264282,1e-05,0.33909693360328674,0.3285920023918152,0.3377562165260315,1.0053681135177612,0.339038610458374,0.3285732865333557
29,0.3379327654838562,1.0057064294815063,1e-05,0.3392150402069092,0.328559011220932,0.3377562165260315,1.00530207157135,0.3390689492225647,0.32847681641578674
30,0.3379337787628174,1.0058317184448242,1e-05,0.3392680883407593,0.32863032817840576,0.3377562165260315,1.0052341222763062,0.33905959129333496,0.3284183144569397
31,0.3376619815826416,1.0051631927490234,1e-05,0.33893290162086487,0.3285684883594513,0.3377562165260315,1.0052235126495361,0.3390640318393707,0.3284032642841339
